"","idno","cntry","nwspol","netusoft","netustm","polintr","psppsgva","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstsci","happy","inprdsc","gndr","agea"
"1",10002,"BG",80,1,6666,4,1,2,3,2,3,3,3,6,6,2,2,76
"2",10006,"BG",63,5,180,1,4,4,5,8,9,6,7,10,9,3,1,43
"3",10009,"BG",390,5,405,3,3,2,3,3,3,3,2,6,5,4,2,50
"4",10024,"BG",60,5,80,4,1,7,2,2,3,0,0,3,3,1,2,51
"5",10027,"BG",120,5,120,1,3,1,0,0,0,0,0,3,3,0,1,70
"6",10048,"BG",60,5,60,1,1,1,0,0,0,0,0,5,5,3,2,31
"7",10053,"BG",30,5,120,3,2,1,5,4,7,5,3,6,7,2,1,40
"8",10055,"BG",70,5,260,3,3,2,2,2,4,1,1,5,5,2,1,48
"9",10059,"BG",60,1,6666,3,4,8,2,3,7,2,2,8,6,1,1,71
"10",10061,"BG",60,1,6666,3,1,1,0,0,2,0,0,9,5,2,1,71
"11",10064,"BG",300,5,90,1,3,2,4,1,1,5,7,6,7,4,2,71
"12",10068,"BG",0,1,6666,4,3,2,5,5,5,4,4,5,7,0,2,72
"13",10071,"BG",30,5,30,2,3,8,0,7,2,7,2,10,7,0,1,52
"14",10077,"BG",30,1,6666,2,1,4,4,5,9,5,6,9,4,1,2,85
"15",10078,"BG",60,1,6666,3,1,1,1,4,5,2,2,9,2,0,2,83
"16",10079,"BG",30,5,60,3,1,2,3,0,0,2,1,1,7,0,2,52
"17",10081,"BG",120,5,240,2,2,1,2,2,5,2,3,6,7,2,1,47
"18",10088,"BG",150,5,120,2,2,1,2,3,5,2,1,8,6,2,1,46
"19",10090,"BG",30,5,60,4,1,1,0,4,4,0,0,4,5,1,1,34
"20",10093,"BG",120,5,180,2,2,8,3,3,5,3,3,6,5,0,2,71
"21",10104,"BG",30,5,90,3,1,1,0,4,5,0,3,5,7,1,1,53
"22",10107,"BG",60,5,120,3,1,1,1,2,4,3,3,5,9,1,1,32
"23",10112,"BG",70,5,150,3,1,1,0,0,7,0,0,8,2,0,2,60
"24",10130,"BG",60,4,120,2,2,1,2,1,1,2,3,1,6,5,2,59
"25",10133,"BG",8888,4,8888,2,4,2,6,2,3,3,3,8,6,2,1,71
"26",10134,"BG",15,5,360,4,1,1,3,3,5,2,2,7,9,3,2,39
"27",10136,"BG",120,1,6666,4,8,2,0,0,0,0,4,1,1,3,2,78
"28",10141,"BG",15,5,270,3,3,2,0,1,4,0,0,5,8,4,2,49
"29",10145,"BG",30,5,180,4,8,5,0,0,3,0,0,6,8,0,1,29
"30",10146,"BG",0,5,60,2,2,3,8,8,8,7,6,9,5,4,2,67
"31",10149,"BG",60,4,120,2,3,2,4,3,3,4,4,6,6,1,2,55
"32",10156,"BG",120,2,6666,3,1,1,7,4,7,4,2,8,7,2,2,85
"33",10169,"BG",120,1,6666,3,8,1,0,88,5,1,1,88,1,0,1,64
"34",10176,"BG",15,5,180,4,1,1,0,2,4,1,1,8,8,1,2,17
"35",10180,"BG",10,5,60,4,1,7,0,0,5,0,0,5,7,0,2,24
"36",10182,"BG",45,5,50,2,3,1,4,4,8,1,1,10,9,2,2,69
"37",10183,"BG",120,5,60,2,2,2,0,0,0,0,0,4,5,1,2,65
"38",10187,"BG",140,4,85,3,3,1,2,1,3,3,1,4,5,1,1,44
"39",10203,"BG",260,1,6666,3,3,4,5,6,5,8,5,10,10,1,2,67
"40",10206,"BG",0,5,600,4,2,2,4,2,3,2,2,7,9,1,2,21
"41",10212,"BG",10,5,120,4,2,1,3,3,5,0,0,7,5,1,1,19
"42",10213,"BG",30,5,60,3,4,3,0,2,5,0,0,5,7,2,2,30
"43",10215,"BG",270,5,180,2,1,2,3,5,3,3,3,4,8,4,1,66
"44",10220,"BG",30,5,120,2,2,2,3,5,6,5,0,5,9,2,2,31
"45",10223,"BG",180,5,180,2,2,2,4,5,5,4,3,5,6,4,1,68
"46",10225,"BG",180,1,6666,2,2,2,2,3,4,2,2,7,6,1,2,79
"47",10245,"BG",90,5,240,2,2,2,0,0,5,3,88,6,5,88,2,66
"48",10249,"BG",150,1,6666,2,1,1,0,2,4,0,0,5,5,2,1,72
"49",10263,"BG",60,2,6666,2,1,1,0,0,2,4,3,8,6,0,2,84
"50",10265,"BG",0,5,180,4,8,3,0,88,4,0,0,6,8,0,1,19
"51",10271,"BG",60,5,210,3,5,8,2,4,7,1,1,8,5,1,1,68
"52",10273,"BG",30,5,600,3,2,1,3,3,6,2,3,7,7,2,1,44
"53",10279,"BG",90,5,180,2,1,1,0,3,4,5,7,6,7,1,2,75
"54",10280,"BG",60,1,6666,2,2,1,5,5,6,5,5,10,5,3,2,71
"55",10283,"BG",20,5,120,3,1,1,3,5,7,0,5,5,8,4,1,20
"56",10288,"BG",15,5,360,3,3,4,3,4,6,2,3,7,5,1,1,47
"57",10295,"BG",45,5,30,3,3,2,0,2,7,1,3,3,5,0,2,61
"58",10297,"BG",60,4,120,3,3,4,3,6,5,2,2,7,9,4,1,51
"59",10304,"BG",60,5,60,2,3,3,5,5,5,5,5,8,5,0,2,78
"60",10312,"BG",30,5,600,2,2,2,3,5,5,5,3,3,8,0,1,55
"61",10313,"BG",20,5,180,3,8,4,5,5,7,5,5,8,10,4,2,58
"62",10314,"BG",30,5,210,4,1,1,0,0,1,0,0,3,7,1,2,52
"63",10318,"BG",210,5,360,2,1,1,2,3,5,2,3,8,8,3,1,18
"64",10322,"BG",20,5,600,3,1,3,0,2,5,0,0,3,8,2,1,29
"65",10329,"BG",150,1,6666,2,2,2,1,1,3,1,0,5,3,1,1,77
"66",10333,"BG",30,5,30,3,3,2,3,7,7,2,2,3,5,0,1,44
"67",10340,"BG",0,5,120,4,1,1,0,0,0,0,0,0,7,1,1,21
"68",10368,"BG",160,5,380,2,3,2,3,3,7,4,4,7,7,1,2,55
"69",10369,"BG",150,2,6666,2,3,2,6,3,6,6,5,8,6,2,1,55
"70",10379,"BG",90,1,6666,3,8,8,2,4,8,4,5,88,1,2,1,57
"71",10380,"BG",180,5,120,3,4,2,3,3,3,3,3,8,5,3,2,59
"72",10393,"BG",90,5,60,2,4,3,8,8,10,6,8,9,9,4,2,44
"73",10394,"BG",0,5,510,4,2,2,2,2,3,2,3,6,5,2,2,15
"74",10397,"BG",20,5,300,2,1,3,0,0,0,0,0,7,7,2,1,40
"75",10398,"BG",135,5,180,3,4,7,0,4,5,0,0,5,4,1,2,41
"76",10401,"BG",0,5,120,3,1,1,1,88,7,0,0,8,7,4,2,23
"77",10402,"BG",8888,5,120,4,8,1,3,5,8,3,2,8,8,3,2,22
"78",10404,"BG",180,5,60,4,2,2,0,0,3,0,0,8,5,2,1,43
"79",10421,"BG",68,5,150,2,2,2,4,2,5,0,1,8,8,4,1,27
"80",10445,"BG",120,1,6666,2,2,1,4,0,7,3,5,7,7,4,1,73
"81",10454,"BG",30,5,120,4,4,8,3,3,7,2,3,8,5,1,2,38
"82",10460,"BG",300,1,6666,2,1,1,3,3,5,2,3,6,7,3,1,72
"83",10465,"BG",160,4,90,2,2,2,1,0,3,0,0,0,5,2,2,41
"84",10466,"BG",20,5,30,3,3,2,5,5,5,5,5,7,7,1,2,40
"85",10470,"BG",360,5,210,1,3,3,5,5,5,5,5,8,7,5,1,66
"86",10478,"BG",40,5,60,2,2,1,0,0,0,0,0,0,1,2,1,47
"87",10482,"BG",30,5,120,3,4,1,1,0,8,2,3,8,8,4,1,32
"88",10484,"BG",150,1,6666,3,3,2,7,8,8,8,5,8,3,1,1,67
"89",10485,"BG",60,5,60,3,2,3,0,3,5,1,0,6,5,0,2,59
"90",10486,"BG",180,5,180,2,2,1,2,2,3,2,2,2,9,2,1,39
"91",10489,"BG",8888,5,150,3,3,3,3,3,0,3,3,5,7,1,2,49
"92",10490,"BG",180,1,6666,2,3,3,7,7,7,7,7,7,8,3,2,70
"93",10494,"BG",10,5,660,4,3,1,2,3,3,2,2,7,5,2,1,33
"94",10501,"BG",270,1,6666,2,1,1,0,4,5,1,1,8,2,0,1,87
"95",10502,"BG",60,5,150,2,3,1,3,0,2,0,3,5,8,4,2,56
"96",10508,"BG",65,5,130,4,2,1,1,0,1,0,2,6,5,1,1,36
"97",10516,"BG",60,5,300,2,1,1,0,0,0,0,0,5,8,2,1,52
"98",10526,"BG",0,5,180,3,1,2,0,1,3,2,2,3,8,3,2,33
"99",10528,"BG",0,5,130,2,2,1,4,5,5,2,0,8,10,4,1,20
"100",10542,"BG",120,1,6666,2,2,2,0,4,6,2,2,7,0,1,2,80
"101",10546,"BG",60,5,600,4,1,1,0,0,0,0,0,5,7,3,1,25
"102",10557,"BG",60,5,30,2,1,1,0,0,5,0,0,10,8,4,2,37
"103",10558,"BG",0,5,480,4,1,1,3,5,6,0,0,5,9,1,2,29
"104",10561,"BG",120,1,6666,2,2,2,6,3,6,3,4,7,8,2,2,79
"105",10566,"BG",120,5,360,4,8,5,0,0,0,0,0,2,9,2,2,39
"106",10567,"BG",40,5,90,3,2,7,3,6,7,6,5,6,7,3,1,61
"107",10572,"BG",0,5,300,4,1,1,0,1,1,2,2,1,9,1,2,47
"108",10573,"BG",8888,5,60,3,2,1,5,5,8,3,3,9,5,0,2,62
"109",10574,"BG",8888,4,8888,2,2,2,2,2,2,1,0,4,5,2,1,31
"110",10575,"BG",30,5,600,1,2,1,1,6,5,2,1,8,8,1,1,28
"111",10579,"BG",180,1,6666,3,1,1,0,1,1,0,0,5,0,0,1,72
"112",10581,"BG",20,3,6666,4,3,3,0,0,2,0,0,0,3,1,2,63
"113",10586,"BG",20,5,120,2,8,1,0,0,0,0,0,0,6,2,2,36
"114",10598,"BG",0,5,720,4,1,1,5,5,5,5,4,5,8,2,2,36
"115",10601,"BG",60,5,480,2,2,1,6,4,8,5,5,8,9,2,1,40
"116",10626,"BG",15,1,6666,4,1,1,0,0,3,0,0,6,5,2,1,66
"117",10629,"BG",60,5,30,2,1,1,3,4,5,0,0,4,5,0,1,57
"118",10632,"BG",30,5,120,4,1,1,0,3,4,0,0,2,5,2,1,26
"119",10638,"BG",60,2,6666,2,2,2,3,0,5,2,2,4,4,0,1,71
"120",10644,"BG",30,5,600,2,1,1,0,2,5,0,0,5,7,2,1,37
"121",10648,"BG",60,5,180,3,1,1,5,0,4,5,2,5,5,1,2,60
"122",10651,"BG",30,5,720,3,1,3,0,0,0,0,0,0,6,2,1,36
"123",10660,"BG",60,5,150,2,1,1,0,0,1,0,0,5,2,1,2,69
"124",10664,"BG",120,1,6666,3,3,1,3,2,5,1,0,7,0,0,2,72
"125",10680,"BG",30,3,6666,2,2,1,5,3,7,4,4,9,5,2,2,71
"126",10684,"BG",60,4,60,3,1,1,0,1,3,0,0,3,5,1,1,52
"127",10687,"BG",20,5,8888,4,1,8,2,4,5,0,0,6,8,1,1,46
"128",10699,"BG",60,4,60,3,3,1,0,0,0,0,0,0,5,4,1,54
"129",10703,"BG",120,1,6666,2,2,2,5,0,0,0,0,6,6,1,1,75
"130",10722,"BG",60,1,6666,3,3,1,0,0,0,0,0,6,3,1,1,60
"131",10735,"BG",15,5,120,4,4,1,5,3,1,3,2,5,8,3,1,37
"132",10745,"BG",15,5,90,2,4,3,5,5,5,5,5,5,10,4,2,35
"133",10757,"BG",120,1,6666,2,3,2,3,1,7,2,0,8,1,1,1,71
"134",10759,"BG",0,5,300,4,1,1,5,5,8,88,88,10,8,6,2,26
"135",10766,"BG",30,5,180,4,3,3,3,4,7,4,3,10,7,4,2,56
"136",10782,"BG",120,5,120,2,1,3,6,4,4,5,5,7,6,1,1,68
"137",10784,"BG",180,1,6666,1,3,3,0,5,5,7,7,8,2,4,2,76
"138",10793,"BG",150,5,120,2,3,2,3,2,2,4,5,5,6,2,1,69
"139",10795,"BG",300,5,120,1,5,1,2,0,5,0,0,10,8,3,1,71
"140",10799,"BG",60,1,6666,4,1,1,0,4,5,0,0,6,5,2,1,72
"141",10802,"BG",30,4,30,2,4,3,3,5,5,1,0,2,5,1,1,69
"142",10816,"BG",180,5,300,2,3,1,2,2,3,2,1,10,7,4,2,42
"143",10819,"BG",60,2,6666,3,1,1,4,5,7,5,4,7,7,2,2,72
"144",10828,"BG",60,5,180,2,2,1,0,0,3,0,0,4,10,0,2,58
"145",10831,"BG",8888,5,60,4,1,1,0,0,5,0,0,7,6,1,1,54
"146",10838,"BG",60,5,60,4,1,1,0,5,5,0,0,5,8,1,2,57
"147",10848,"BG",90,5,120,2,1,1,0,1,1,2,2,6,4,2,1,30
"148",10853,"BG",10,5,60,4,1,1,5,5,7,5,3,9,6,0,2,67
"149",10865,"BG",60,5,240,3,4,3,3,4,7,7,7,9,9,2,2,60
"150",10870,"BG",30,1,6666,4,4,1,0,0,0,0,0,4,7,4,1,60
"151",10875,"BG",10,5,60,3,3,5,2,4,6,1,1,9,7,2,2,66
"152",10892,"BG",0,5,180,4,2,1,0,3,5,3,0,5,6,1,1,19
"153",10913,"BG",90,5,180,1,4,3,2,0,3,1,1,3,5,1,2,64
"154",10914,"BG",30,1,6666,4,2,1,3,5,5,0,0,5,5,4,1,67
"155",10928,"BG",240,1,6666,1,1,1,0,0,0,0,2,10,7,6,2,73
"156",10935,"BG",360,1,6666,2,4,1,0,0,0,4,3,8,5,0,1,65
"157",10938,"BG",90,5,600,1,3,1,0,1,2,1,0,2,8,3,2,41
"158",10940,"BG",60,5,15,2,1,1,0,0,1,4,1,10,5,1,1,67
"159",10948,"BG",10,5,420,4,3,1,0,1,0,0,0,6,6,1,2,26
"160",10958,"BG",180,1,6666,3,1,1,2,5,6,2,2,7,3,1,2,83
"161",10969,"BG",30,3,6666,3,2,4,2,5,5,4,5,7,7,2,1,37
"162",10976,"BG",10,5,60,3,1,8,8,5,9,6,6,10,8,88,2,19
"163",10988,"BG",150,3,6666,2,1,2,2,2,4,2,2,3,8,2,2,38
"164",10989,"BG",230,4,120,3,2,2,0,2,4,2,2,6,3,2,1,69
"165",10998,"BG",0,5,60,3,4,3,10,10,10,10,10,10,10,0,2,27
"166",11013,"BG",60,5,60,3,1,1,3,4,6,0,0,5,9,2,1,40
"167",11021,"BG",30,5,90,2,3,8,5,1,4,4,4,7,7,5,1,51
"168",11023,"BG",60,5,90,2,1,1,0,1,2,0,0,7,6,3,1,52
"169",11026,"BG",40,5,180,4,1,1,4,3,5,4,4,5,7,2,2,68
"170",11039,"BG",120,1,6666,2,4,2,0,0,5,0,0,1,4,2,2,77
"171",11042,"BG",80,5,310,2,5,3,4,3,4,2,2,5,5,2,1,61
"172",11043,"BG",180,5,480,3,2,2,0,3,2,1,0,7,8,2,1,32
"173",11047,"BG",90,1,6666,2,1,1,0,0,0,0,3,7,0,3,1,89
"174",11049,"BG",0,5,210,4,2,2,0,5,3,0,0,5,7,4,1,39
"175",11051,"BG",30,5,30,2,1,1,5,5,5,3,3,5,7,3,1,59
"176",11057,"BG",120,5,480,2,2,2,2,3,4,5,3,4,6,0,1,46
"177",11065,"BG",90,1,6666,3,1,1,5,3,7,5,4,7,7,2,2,69
"178",11070,"BG",240,5,30,1,1,2,7,2,6,3,4,10,6,2,1,70
"179",11073,"BG",60,5,180,2,2,2,7,7,7,7,5,7,8,2,2,59
"180",11089,"BG",60,5,600,2,3,2,2,2,3,5,5,6,8,4,1,33
"181",11097,"BG",8888,2,6666,3,8,8,3,2,3,1,1,4,4,3,2,70
"182",11105,"BG",0,5,480,4,3,8,5,8,8,5,5,10,10,4,1,23
"183",11106,"BG",180,4,150,1,1,1,2,2,1,0,0,8,5,2,1,55
"184",11112,"BG",120,1,6666,2,2,1,0,0,2,1,2,5,7,2,2,71
"185",11120,"BG",0,2,6666,3,3,3,2,2,3,3,3,5,3,2,2,60
"186",11131,"BG",120,5,360,2,3,1,6,7,8,8,8,9,5,1,1,35
"187",11143,"BG",60,5,120,2,2,1,0,0,10,0,0,10,10,0,1,43
"188",11146,"BG",30,2,6666,4,1,1,5,1,1,4,1,7,0,0,1,51
"189",11154,"BG",30,4,120,3,2,1,1,3,4,1,1,5,4,4,2,64
"190",11160,"BG",180,1,6666,1,2,2,0,0,4,4,3,10,1,3,1,85
"191",11162,"BG",210,4,90,1,5,5,5,6,8,4,4,8,7,4,1,56
"192",11164,"BG",120,5,600,1,4,2,5,5,5,8,8,8,7,1,1,34
"193",11174,"BG",30,5,120,2,2,2,1,6,7,5,7,8,10,88,1,21
"194",11175,"BG",120,1,6666,2,1,3,2,2,2,2,2,6,5,2,2,82
"195",11177,"BG",180,1,6666,1,1,1,2,1,3,3,3,10,8,2,2,80
"196",11195,"BG",150,5,510,3,3,5,4,5,4,4,5,5,6,1,2,40
"197",11205,"BG",60,5,60,2,2,3,3,2,5,3,3,5,5,2,2,42
"198",11209,"BG",90,5,123,1,4,5,8,7,9,6,7,10,9,1,1,53
"199",11220,"BG",90,5,540,2,2,2,7,7,6,4,3,10,3,0,2,50
"200",11222,"BG",45,4,8888,2,4,3,5,7,8,6,5,6,8,1,1,58
"201",11225,"BG",90,3,6666,2,2,8,5,4,5,4,4,9,3,1,1,54
"202",11227,"BG",60,5,600,2,4,2,8,7,8,8,3,10,6,2,2,40
"203",11230,"BG",150,1,6666,4,4,2,2,1,6,3,3,8,5,0,2,66
"204",11237,"BG",15,5,120,3,1,3,0,0,0,0,0,9,4,1,2,63
"205",11239,"BG",150,5,90,2,1,1,0,0,0,0,0,5,5,1,2,63
"206",11240,"BG",60,5,90,3,1,1,0,0,1,0,0,3,2,1,2,64
"207",11259,"BG",120,5,360,3,1,1,1,3,4,1,0,6,4,2,2,20
"208",11261,"BG",8888,1,6666,3,1,1,0,0,0,0,0,0,2,2,1,45
"209",11269,"BG",80,1,6666,2,1,5,0,0,0,0,0,9,1,1,2,79
"210",11271,"BG",150,5,360,1,2,2,0,0,0,0,0,0,5,0,2,67
"211",11273,"BG",180,1,6666,2,1,1,5,9,10,5,1,6,5,2,1,47
"212",11274,"BG",60,2,6666,2,3,2,3,3,3,3,3,5,6,4,1,59
"213",11284,"BG",0,1,6666,4,1,1,5,5,5,5,6,6,4,0,2,59
"214",11293,"BG",120,2,6666,2,1,1,3,0,0,4,4,6,5,2,2,48
"215",11298,"BG",30,2,6666,3,3,3,2,2,3,2,2,2,6,1,2,40
"216",11300,"BG",360,5,360,2,2,1,0,0,5,0,0,8,5,1,2,44
"217",11321,"BG",45,5,50,4,4,2,2,2,5,2,1,8,7,1,1,24
"218",11323,"BG",30,1,6666,4,1,1,0,0,0,1,1,8,3,1,2,66
"219",11329,"BG",90,4,120,2,2,3,3,1,1,2,1,6,8,2,1,51
"220",11336,"BG",270,5,240,2,2,2,2,0,3,2,3,7,5,2,1,33
"221",11344,"BG",15,4,600,1,1,3,4,2,3,2,3,7,9,1,1,26
"222",11350,"BG",0,4,20,4,1,1,0,5,5,0,0,4,5,1,2,62
"223",11360,"BG",330,1,6666,1,1,1,0,10,8,0,0,10,10,2,2,76
"224",11365,"BG",40,5,420,3,3,3,2,5,5,2,4,8,7,1,2,34
"225",11370,"BG",30,1,6666,3,2,2,0,8,8,0,0,7,2,0,2,68
"226",11372,"BG",60,1,6666,2,5,2,2,3,4,2,2,6,6,3,2,74
"227",11375,"BG",60,5,180,2,1,1,2,1,5,0,0,6,5,3,1,45
"228",11379,"BG",90,5,270,1,2,3,6,6,10,5,4,8,10,2,2,47
"229",11387,"BG",150,1,6666,2,1,1,3,1,4,2,1,8,3,3,1,83
"230",11395,"BG",180,5,210,2,2,1,3,3,3,3,3,3,9,1,2,42
"231",11402,"BG",210,5,270,2,2,3,4,5,7,5,4,8,5,2,2,44
"232",11440,"BG",120,5,300,3,1,1,2,2,4,3,3,4,9,1,2,40
"233",11446,"BG",200,1,6666,2,2,2,2,3,3,3,4,10,3,2,1,79
"234",11447,"BG",15,5,660,2,2,3,6,5,7,4,4,7,8,5,1,28
"235",11450,"BG",20,5,150,3,1,1,0,0,0,0,0,9,9,0,1,69
"236",11452,"BG",180,1,6666,1,1,1,0,1,3,1,1,8,3,3,1,64
"237",11465,"BG",120,1,6666,3,2,1,5,5,4,2,5,8,5,3,2,86
"238",11466,"BG",180,5,360,2,1,1,3,2,4,1,1,8,10,3,1,31
"239",11469,"BG",10,5,150,4,1,1,1,2,2,1,1,8,9,4,2,47
"240",11470,"BG",60,1,6666,4,1,3,0,0,5,3,3,5,10,3,2,73
"241",11493,"BG",30,5,90,1,3,3,4,4,4,5,5,5,8,1,2,43
"242",11495,"BG",30,5,60,3,4,2,0,0,4,0,0,6,9,0,2,28
"243",11498,"BG",240,5,150,2,2,1,0,3,0,0,0,5,7,2,2,51
"244",11523,"BG",120,3,6666,2,2,2,1,4,6,3,3,7,7,2,2,62
"245",11526,"BG",180,5,120,2,4,3,4,4,5,0,4,5,7,2,2,48
"246",11530,"BG",150,5,180,2,2,1,1,6,6,5,7,9,7,3,1,55
"247",11537,"BG",150,1,6666,2,2,1,0,0,0,0,0,4,2,1,1,75
"248",11542,"BG",240,1,6666,2,1,1,5,5,9,6,6,10,4,3,2,69
"249",11545,"BG",110,5,240,2,5,2,3,6,9,3,3,9,6,1,1,35
"250",11565,"BG",20,5,180,2,4,8,6,0,1,3,3,10,4,3,2,49
"251",11569,"BG",60,5,240,2,4,3,4,4,6,4,4,6,6,0,2,60
"252",11570,"BG",75,5,230,3,5,8,2,4,7,2,2,9,6,1,2,72
"253",11573,"BG",60,1,6666,3,1,2,6,7,7,4,4,6,7,1,1,61
"254",11574,"BG",30,5,180,4,1,5,0,3,4,3,2,4,6,4,1,36
"255",11582,"BG",60,5,150,4,1,1,5,7,5,5,0,7,3,1,2,74
"256",11587,"BG",30,5,120,3,2,2,10,1,10,8,6,8,10,2,2,52
"257",11588,"BG",180,5,240,3,2,2,2,2,3,2,2,3,7,3,2,39
"258",11590,"BG",30,4,120,2,3,2,0,0,1,1,3,3,4,1,1,60
"259",11597,"BG",60,1,6666,2,1,3,0,0,4,0,0,8,3,1,2,83
"260",11598,"BG",60,5,120,2,2,3,5,5,5,5,5,5,7,3,1,55
"261",11601,"BG",390,3,6666,1,1,1,4,2,8,2,3,9,7,1,1,69
"262",11611,"BG",120,1,6666,3,1,1,0,3,4,1,0,6,3,0,1,57
"263",11612,"BG",8888,5,65,4,3,1,0,0,5,3,1,7,6,1,1,40
"264",11629,"BG",480,1,6666,2,1,1,0,8,5,1,0,8,6,0,2,73
"265",11630,"BG",180,5,180,3,1,1,0,0,0,0,0,0,7,2,1,40
"266",11633,"BG",0,5,780,4,1,1,3,3,4,2,2,8,10,4,2,20
"267",11636,"BG",108,1,6666,3,3,1,2,2,8,1,1,2,3,3,2,61
"268",11637,"BG",210,2,6666,2,2,2,4,1,6,3,5,9,7,2,1,76
"269",11649,"BG",90,2,6666,3,3,2,5,3,2,2,2,6,6,88,2,60
"270",11657,"BG",8888,2,6666,2,1,1,0,0,3,0,3,3,7,1,1,39
"271",11663,"BG",90,2,6666,2,1,1,2,7,7,3,2,7,7,2,1,58
"272",11671,"BG",190,3,6666,2,2,1,1,2,5,3,3,7,7,3,2,67
"273",11672,"BG",150,5,8888,2,2,1,0,0,0,0,0,4,5,4,2,48
"274",11691,"BG",300,1,6666,3,3,2,5,6,7,5,4,8,5,1,2,66
"275",11699,"BG",5,5,360,3,2,1,8,8,8,7,6,9,10,3,2,47
"276",11702,"BG",60,5,240,4,2,3,5,4,5,4,4,5,9,3,2,18
"277",11715,"BG",60,5,90,2,3,1,1,0,0,0,0,3,7,3,1,42
"278",11718,"BG",30,5,150,4,1,1,0,0,0,0,0,5,4,1,2,41
"279",11720,"BG",60,5,120,4,1,1,0,3,5,0,0,6,5,1,2,53
"280",11739,"BG",90,1,6666,1,3,1,5,0,8,0,0,6,0,3,2,74
"281",11740,"BG",30,5,120,3,1,8,0,7,4,0,0,6,1,5,1,26
"282",11748,"BG",150,3,6666,2,1,1,3,4,4,2,2,5,9,2,1,68
"283",11751,"BG",180,1,6666,2,2,3,3,3,7,4,3,8,5,2,2,71
"284",11752,"BG",30,1,6666,3,3,2,10,10,10,10,10,10,10,6,2,69
"285",11754,"BG",180,1,6666,1,1,1,0,3,6,2,1,7,2,1,1,82
"286",11761,"BG",0,5,480,3,1,1,0,0,1,0,0,2,10,2,2,17
"287",11783,"BG",60,4,60,2,5,4,10,10,10,10,10,6,10,2,1,57
"288",11786,"BG",120,1,6666,2,8,1,2,2,2,1,1,5,8,2,1,78
"289",11787,"BG",10,5,300,4,1,8,0,0,0,0,0,8,8,4,1,18
"290",11795,"BG",120,5,150,3,1,8,0,5,3,0,0,5,1,4,1,24
"291",11808,"BG",210,1,6666,4,1,3,1,5,4,0,0,3,0,0,2,81
"292",11810,"BG",30,5,720,3,1,4,0,0,0,0,0,0,10,2,1,21
"293",11818,"BG",30,5,150,4,5,8,2,88,7,2,2,8,6,1,2,33
"294",11822,"BG",60,5,60,3,1,1,0,6,9,0,0,4,10,1,1,46
"295",11834,"BG",150,5,400,2,1,1,3,2,3,3,2,8,8,4,2,32
"296",11844,"BG",60,5,120,2,2,2,1,5,6,4,4,7,7,0,1,51
"297",11848,"BG",60,5,180,4,2,1,0,6,7,0,0,7,7,3,2,53
"298",11851,"BG",60,1,6666,3,3,2,0,0,0,0,0,5,7,0,2,61
"299",11854,"BG",120,5,120,3,1,1,0,0,5,0,0,6,6,2,2,57
"300",11860,"BG",75,2,6666,2,2,3,1,2,4,0,1,8,8,3,1,66
"301",11864,"BG",100,4,120,3,1,2,1,4,2,1,1,8,8,1,2,71
"302",11867,"BG",90,5,180,3,1,1,1,3,3,0,0,7,8,2,1,32
"303",11868,"BG",180,4,120,1,1,1,0,4,5,0,0,6,7,1,1,53
"304",11870,"BG",150,1,6666,2,3,2,2,2,9,3,4,9,5,3,2,58
"305",11873,"BG",390,2,6666,2,2,2,2,2,2,2,2,1,2,2,2,63
"306",11884,"BG",20,5,480,3,4,3,3,0,0,0,5,8,7,0,1,25
"307",11885,"BG",30,5,150,4,1,1,0,0,5,0,0,9,8,3,2,50
"308",11888,"BG",60,5,120,3,1,2,0,0,0,0,0,5,7,3,2,64
"309",11900,"BG",120,1,6666,2,1,1,2,3,3,0,0,6,5,4,1,71
"310",11918,"BG",100,1,6666,3,3,2,2,1,4,4,4,8,6,0,1,89
"311",11922,"BG",8888,5,8888,3,2,1,0,0,0,0,0,5,5,2,1,36
"312",11925,"BG",240,1,6666,2,2,1,2,2,6,0,3,6,6,1,1,79
"313",11927,"BG",20,5,120,4,1,2,2,1,1,3,1,6,7,2,1,55
"314",11928,"BG",120,2,6666,2,3,1,5,3,4,2,2,5,5,0,1,65
"315",11934,"BG",20,1,6666,4,1,1,1,0,3,2,1,8,8,2,2,52
"316",11936,"BG",230,1,6666,2,1,1,5,3,7,1,1,5,1,1,2,76
"317",11938,"BG",300,5,240,2,4,2,8,8,8,3,3,7,7,3,1,62
"318",11953,"BG",30,5,120,3,1,1,1,0,2,0,1,2,0,1,1,65
"319",11956,"BG",120,1,6666,2,3,8,5,7,6,5,6,8,5,2,2,81
"320",11962,"BG",70,5,120,2,2,1,1,1,2,1,1,8,5,3,2,69
"321",11970,"BG",120,5,480,1,1,3,2,1,1,2,1,9,5,3,1,36
"322",11982,"BG",120,5,180,3,3,3,2,6,6,3,3,6,9,2,1,59
"323",11987,"BG",30,5,450,3,2,1,7,6,7,7,6,8,9,2,2,46
"324",11993,"BG",120,5,8888,3,2,7,88,2,7,1,0,7,6,0,1,69
"325",12004,"BG",300,1,6666,4,1,1,1,1,1,0,0,8,7,1,2,75
"326",12008,"BG",15,5,300,4,1,1,2,6,10,3,3,10,8,4,2,17
"327",12009,"BG",30,5,210,4,1,1,0,3,10,0,2,10,10,1,2,21
"328",12013,"BG",220,4,8888,3,3,3,3,2,3,3,0,8,6,3,2,56
